region,category,parameter,mode,powertrain,year,unit,value,steps_value,sds_value
China,Historical,EV sales share,Cars,EV,2010,percent,0.01,,
China,Historical,EV sales share,Cars,EV,2011,percent,0.034000002,,
China,Historical,EV sales share,Cars,EV,2012,percent,0.061999999,,
China,Historical,EV sales share,Cars,EV,2013,percent,0.082999997,,
China,Historical,EV sales share,Cars,EV,2014,percent,0.354000002,,
China,Historical,EV sales share,Cars,EV,2015,percent,0.944000006,,
China,Historical,EV sales share,Cars,EV,2016,percent,1.353000045,,
China,Historical,EV sales share,Cars,EV,2017,percent,2.328999996,,
China,Historical,EV sales share,Cars,EV,2018,percent,4.465000153,,
China,Historical,EV sales share,Cars,EV,2019,percent,4.789999962,,
China,Historical,EV sales share,Cars,EV,2020,percent,5.747000217,,
China,Projection-STEPS,EV sales share,Cars,EV,2025,percent,35.00999832,20.08499908,35.00999832
China,Projection-STEPS,EV sales share,Cars,EV,2030,percent,42.43500137,33.76699829,42.43500137
Europe,Historical,EV sales share,Cars,EV,2010,percent,0.017000001,,
Europe,Historical,EV sales share,Cars,EV,2011,percent,0.068999998,,
Europe,Historical,EV sales share,Cars,EV,2012,percent,0.195999995,,
Europe,Historical,EV sales share,Cars,EV,2013,percent,0.421000004,,
Europe,Historical,EV sales share,Cars,EV,2014,percent,0.653999984,,
Europe,Historical,EV sales share,Cars,EV,2015,percent,1.16900003,,
Europe,Historical,EV sales share,Cars,EV,2016,percent,1.213000059,,
Europe,Historical,EV sales share,Cars,EV,2017,percent,1.66900003,,
Europe,Historical,EV sales share,Cars,EV,2018,percent,2.174000025,,
Europe,Historical,EV sales share,Cars,EV,2019,percent,3.213999987,,
Europe,Historical,EV sales share,Cars,EV,2020,percent,9.987999916,,
Europe,Projection-STEPS,EV sales share,Cars,EV,2025,percent,32.87200165,19.22800064,32.87200165
Europe,Projection-STEPS,EV sales share,Cars,EV,2030,percent,77.58300018,35.83000183,77.58300018
India,Historical,EV sales share,Cars,EV,2010,percent,0.021,,
India,Historical,EV sales share,Cars,EV,2011,percent,0.057,,
India,Historical,EV sales share,Cars,EV,2012,percent,0.007,,
India,Historical,EV sales share,Cars,EV,2013,percent,0.016000001,,
India,Historical,EV sales share,Cars,EV,2014,percent,0.037,,
India,Historical,EV sales share,Cars,EV,2015,percent,0.016000001,,
India,Historical,EV sales share,Cars,EV,2016,percent,0.067000002,,
India,Historical,EV sales share,Cars,EV,2017,percent,0.037999999,,
India,Historical,EV sales share,Cars,EV,2018,percent,0.064999998,,
India,Historical,EV sales share,Cars,EV,2019,percent,0.068000004,,
India,Historical,EV sales share,Cars,EV,2020,percent,0.056000002,,
India,Projection-STEPS,EV sales share,Cars,EV,2025,percent,8.961000443,6.499000072,8.961000443
India,Projection-STEPS,EV sales share,Cars,EV,2030,percent,29.24099922,10.88300037,29.24099922
USA,Historical,EV sales share,Cars,EV,2010,percent,0.011,,
USA,Historical,EV sales share,Cars,EV,2011,percent,0.169,,
USA,Historical,EV sales share,Cars,EV,2012,percent,0.407000005,,
USA,Historical,EV sales share,Cars,EV,2013,percent,0.736999989,,
USA,Historical,EV sales share,Cars,EV,2014,percent,0.890999973,,
USA,Historical,EV sales share,Cars,EV,2015,percent,0.785000026,,
USA,Historical,EV sales share,Cars,EV,2016,percent,1.019999981,,
USA,Historical,EV sales share,Cars,EV,2017,percent,1.161999941,,
USA,Historical,EV sales share,Cars,EV,2018,percent,1.97300005,,
USA,Historical,EV sales share,Cars,EV,2019,percent,1.743000031,,
"USA	",Historical,EV sales share,Cars,EV,2020,percent,2.040999889,,
USA,Projection-STEPS,EV sales share,Cars,EV,2025,percent,14.40499973,7.769000053,14.40499973
USA,Projection-STEPS,EV sales share,Cars,EV,2030,percent,49.57699966,15.68500042,49.57699966
World,Historical,EV sales share,Cars,EV,2010,percent,0.015,,
World,Historical,EV sales share,Cars,EV,2011,percent,0.085000001,,
World,Historical,EV sales share,Cars,EV,2012,percent,0.193000004,,
World,Historical,EV sales share,Cars,EV,2013,percent,0.319999993,,
World,Historical,EV sales share,Cars,EV,2014,percent,0.492000014,,
World,Historical,EV sales share,Cars,EV,2015,percent,0.782000005,,
World,Historical,EV sales share,Cars,EV,2016,percent,1.001999974,,
World,Historical,EV sales share,Cars,EV,2017,percent,1.498000026,,
World,Historical,EV sales share,Cars,EV,2018,percent,2.532999992,,
World,Historical,EV sales share,Cars,EV,2019,percent,2.732000113,,
World,Historical,EV sales share,Cars,EV,2020,percent,4.611999989,,
World,Projection-STEPS,EV sales share,Cars,EV,2025,percent,18.86100006,10.35900021,18.86100006
World,Projection-STEPS,EV sales share,Cars,EV,2030,percent,36.02399826,17.30900002,36.02399826
